temp_id,folio,witness,exact_italian,literal_english,topic,status
"MI_REC_27_36_IMG01","FOLIO_PENDING","Leonardo Interactivo BNE","Fondamento dell rote di quessto charro e del loro sito.","Foundation of the wheels of this cart and of their position.","Cart wheel geometry","RECOVERED"
"MI_REC_27_36_IMG02","FOLIO_PENDING","Leonardo Interactivo BNE","Questo movimento è di natura che va inna[n]zi e poi ritorna indirieto, e ancora volta intorno.","This movement is of a nature that goes forward and then returns backward, and again turns around.","Reciprocating + rotary motion","RECOVERED"
"MI_REC_27_36_IMG02","FOLIO_PENDING","Leonardo Interactivo BNE","E cquessto solo achade al rochetto m, che ssi volta nell'anello b. Il quale anello è ssosspinto innanzi e indirieto dalla rota r.","And this only happens to the pinion m, which turns in the ring b. Which ring is pushed forward and backward by the wheel r.","Ring-pinion reciprocating drive","RECOVERED"
"MI_REC_27_36_IMG02","FOLIO_PENDING","Leonardo Interactivo BNE","E hesso rochetto è inpolato sopra un ferro quadro e llungo, che hentra per la canna quadra n o, come vedi.","And this pinion is set on a square and long iron, which enters through the square tube n o, as you see.","Square-section shaft","RECOVERED"
"MI_REC_27_36_IMG02","FOLIO_PENDING","Leonardo Interactivo BNE","Quessto è il modo chome si ferma il polo della rota r.","This is the way in which the pole of wheel r is fixed.","Wheel-pole fixing","RECOVERED"
"MI_REC_27_36_IMG02","FOLIO_PENDING","Leonardo Interactivo BNE","E ssimilemente, questi qui di sotto son tutti i pezi qui di sopra.","And similarly, these here below are all the parts shown above.","Parts correspondence","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","Quessto isstrumento per voltare il manicho f, manda inanzi e ffa tornare indirieto l'asste m n.","This instrument, by turning the handle f, sends the shaft m n forward and makes it return backward.","Handle-driven shaft reciprocation","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","Adoperalo hora tu a' tua propositi, che ffa bene.","Use it now for your purposes, it works well.","Practical instruction","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","E lla cinghia che move tale asste hè fferma infra ll'una roccha e ll'altra dirieto, inchiodata sul subbio di dette rocche.","And the belt that moves that shaft is fixed between one spindle and the other behind, nailed on the axle of said spindles.","Belt-fixed shaft drive","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","Questo hè il migliore moto che ssia infra i moti doppi, inperoché ssenpre, in ogni sua parte, fia hequale.","This is the best motion that exists among double motions, because it will always be equal in every part of it.","Double motion — best type","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","E ssapi che lla rota grande che move le due rocche hè apunto meza dentata, chon 12 denti che movano tali roche.","And know that the large wheel that moves the two spindles is exactly half-toothed, with 12 teeth that move such spindles.","Half-toothed driving wheel","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","E anchora ciasscuna d'esse 2 roche sono fatte di 12 fuselli ciascuna per sé.","And also each of those 2 spindles is made of 12 rods each by itself.","12-rod spindle construction","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","Ma guarda tu conponitore di sstrumenti, che mai tu non faci tali menbri in lochi ch'elli abino a hessere troppo veloci, perché nel pigliare fuga overo inpito per un verso, e che ssubito essa rota avesi a ritornare indirieto, ella anderebbe a ppericholo di ronpere i sua denti.","But you, maker of instruments, take care never to place such members in positions where they must be too fast, because in taking flight or impetus in one direction, and the wheel suddenly having to return backward, it would be in danger of breaking its teeth.","Speed-limit safety warning","RECOVERED"
"MI_REC_27_36_IMG03","FOLIO_PENDING","Leonardo Interactivo BNE","E puossi ancora 'n iscanbio dell'asste che va in qua he in là, fare chon una schaletta di ferro, come qui si dimosstra, e ffia più etterno e men variabile.","And one can also, instead of the shaft that goes this way and that, make it with a small iron rack, as is shown here, and it will be more durable and less variable.","Iron rack alternative to shaft","RECOVERED"
"MI_REC_27_36_IMG04","FOLIO_PENDING","Leonardo Interactivo BNE","Horilogo","Clock","Clock label","RECOVERED"
